index,class_1,class_2,class_3,male,female,age,sipsp,parch,A_ticket,C_ticket,CA_ticket,FC_ticket,numeric_ticket,Others_ticket,PC_ticket,PP_ticket,SC_ticket,SO_ticket,SOTON_ticket,STON_ticket,W_ticket,Fare,Embarked_C,Embarked_Q,Embarked_S,Survival
1,0,0,1,1,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,1,0
2,1,0,0,0,1,38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71.2833,1,0,0,1
3,0,0,1,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.925,0,0,1,1
4,1,0,0,0,1,35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53.1,0,0,1,1
5,0,0,1,1,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.05,0,0,1,0
6,0,0,1,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.4583,0,1,0,0
7,1,0,0,1,0,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.8625,0,0,1,0
8,0,0,1,1,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21.075,0,0,1,0
9,0,0,1,0,1,27,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11.1333,0,0,1,1
10,0,1,0,0,1,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0708,1,0,0,1
11,0,0,1,0,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16.7,0,0,1,1
12,1,0,0,0,1,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.55,0,0,1,1
13,0,0,1,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,1,0
14,0,0,1,1,0,39,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,31.275,0,0,1,0
15,0,0,1,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8542,0,0,1,0
