,class_1,class_2,class_3,male,female,age,sipsp,parch,A_ticket,C_ticket,CA_ticket,FC_ticket,numeric_ticket,Others_ticket,PC_ticket,PP_ticket,SC_ticket,SO_ticket,SOTON_ticket,STON_ticket,W_ticket,Fare,Embarked_C,Embarked_Q,Embarked_S,Survival,pc1,pc2
0,0,0,1,1,0,22.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,1,0.0,-25.1617249471,-6.67766781533
1,1,0,0,0,1,38.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71.2833,1,0,0,1.0,39.3265261129,7.46001660879
2,0,0,1,0,1,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.925,0,0,1,1.0,-24.3704674655,-2.67966854664
3,1,0,0,0,1,35.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53.1,0,0,1,1.0,21.0568075737,4.98925223721
4,0,0,1,1,0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-23.988306589,6.31542060769
5,0,0,1,1,0,30.2634271712,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.4583,0,1,0,0.0,-23.7172685775,1.57217668837
6,1,0,0,1,0,54.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.8625,0,0,1,0.0,20.3661189684,24.0433294705
7,0,0,1,1,0,2.0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21.075,0,0,1,0.0,-11.9163263841,-27.1329497017
8,0,0,1,0,1,27.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11.1333,0,0,1,1.0,-21.128937514,-1.80279880116
9,0,1,0,0,1,14.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0708,1,0,0,1.0,-2.5754805104,-15.3270847896
10,0,0,1,0,1,4.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16.7,0,0,1,1.0,-16.2330140218,-24.9548427203
11,1,0,0,0,1,58.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.55,0,0,1,1.0,-4.81455345761,28.7644788113
12,0,0,1,1,0,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.4238075152,-8.66718399962
13,0,0,1,1,0,39.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,31.275,0,0,1,0.0,-0.636886411304,9.53241688342
14,0,0,1,0,1,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8542,0,0,1,0.0,-24.7919526314,-14.6633524312
